문제 번호,제목,레벨,태그,링크
15654,N과 M (5),,,https://www.acmicpc.net/problem/15654
15663,N과 M (9),,,https://www.acmicpc.net/problem/15663
15666,N과 M (12),,,https://www.acmicpc.net/problem/15666
15686,치킨 배달,,,https://www.acmicpc.net/problem/15686
15894,수학은 체육과목 입니다,3,"arithmetic, math",https://www.acmicpc.net/problem/15894
15988,"1, 2, 3 더하기 3",,,https://www.acmicpc.net/problem/15988
16430,제리와 톰,,,https://www.acmicpc.net/problem/16430
16472,고냥이,,,https://www.acmicpc.net/problem/16472
16928,뱀과 사다리 게임,,,https://www.acmicpc.net/problem/16928
16953,A → B,,,https://www.acmicpc.net/problem/16953
17070,파이프 옮기기 1,,,https://www.acmicpc.net/problem/17070
17219,비밀번호 찾기,7,"data_structures, hash_set",https://www.acmicpc.net/problem/17219
17502,클레어와 팰린드롬,4,"implementation, string",https://www.acmicpc.net/problem/17502
17626,Four Squares,,,https://www.acmicpc.net/problem/17626
18108,1998년생인 내가 태국에서는 2541년생?!,1,"arithmetic, math",https://www.acmicpc.net/problem/18108
18110,solved.ac,,,https://www.acmicpc.net/problem/18110
18111,마인크래프트,,"bruteforcing, implementation",https://www.acmicpc.net/problem/18111
18870,좌표 압축,9,"coordinate_compression, sorting",https://www.acmicpc.net/problem/18870
19532,수학은 비대면강의입니다,4,"bruteforcing, math",https://www.acmicpc.net/problem/19532
21736,헌내기는 친구가 필요해,,,https://www.acmicpc.net/problem/21736
23758,중앙값 제거,,"greedy, math, sorting",https://www.acmicpc.net/problem/23758
24262,알고리즘 수업 - 알고리즘의 수행 시간 1,1,"implementation, simulation",https://www.acmicpc.net/problem/24262
24263,알고리즘 수업 - 알고리즘의 수행 시간 2,2,"implementation, simulation",https://www.acmicpc.net/problem/24263
24264,알고리즘 수업 - 알고리즘의 수행 시간 3,3,"arithmetic, implementation, math, simulation",https://www.acmicpc.net/problem/24264
24265,알고리즘 수업 - 알고리즘의 수행 시간 4,3,"arithmetic, implementation, math, simulation",https://www.acmicpc.net/problem/24265
24266,알고리즘 수업 - 알고리즘의 수행 시간 5,3,"implementation, math, simulation",https://www.acmicpc.net/problem/24266
24267,알고리즘 수업 - 알고리즘의 수행 시간 6,4,"implementation, math, simulation",https://www.acmicpc.net/problem/24267
24313,알고리즘 수업 - 점근적 표기 1,6,math,https://www.acmicpc.net/problem/24313
24883,자동완성,,,https://www.acmicpc.net/problem/24883
25083,새싹,1,implementation,https://www.acmicpc.net/problem/25083
25206,너의 평점은,6,"implementation, math, string",https://www.acmicpc.net/problem/25206
25304,영수증,2,"arithmetic, implementation, math",https://www.acmicpc.net/problem/25304
25305,커트라인,4,"implementation, sorting",https://www.acmicpc.net/problem/25305
25314,코딩은 체육과목 입니다,1,implementation,https://www.acmicpc.net/problem/25314
27323,직사각형,1,"arithmetic, geometry, math",https://www.acmicpc.net/problem/27323
27866,문자와 문자열,1,"implementation, string",https://www.acmicpc.net/problem/27866
28702,FizzBuzz,,,https://www.acmicpc.net/problem/28702
30143,Cookie Piles,,,https://www.acmicpc.net/problem/30143
30501,관공... 어찌하여 목만 오셨소...,,,https://www.acmicpc.net/problem/30501
30802,웰컴 키트,3,"arithmetic, implementation, math",https://www.acmicpc.net/problem/30802
30804,과일 탕후루,,,https://www.acmicpc.net/problem/30804
31403,$A + B - C$,,,https://www.acmicpc.net/problem/31403
31923,마라탕후루,4,"bruteforcing, math",https://www.acmicpc.net/problem/31923
32314,Christmas Tree Adapter,,,https://www.acmicpc.net/problem/32314
